平民,卧底
荷花,莲花
杜鹃,布谷鸟
熊猫,小熊猫
鲤鱼,锦鲤
喜鹊,乌鸦
蝴蝶,飞蛾
蜻蜓,豆娘
狼,哈士奇
海豚,海狮
蝎子,蜈蚣
玫瑰,月季
竹子,芦苇
牡丹,芍药
枫叶,梧桐叶
菊花,雏菊
冰雹,霜
雾,霾
瀑布,泉水
沙漠,戈壁
峡谷,盆地
汤圆,元宵
粽子,饭团
馄饨,抄手
豆花,豆腐脑
烧饼,馕
烤串,串串香
拉面,泡面
月饼,老婆饼
烧麦,烧卖
火锅,麻辣烫
算盘,计算器
墨水,墨汁
暖宝宝,热水袋
围巾,围脖
汉服,和服
搓澡巾,浴花
扇子,团扇
针灸,拔罐
红包,利是
旗袍,马褂
春运,返乡
年夜饭,团圆饭
拜年,串门
赶集,逛街
团购,拼单
内卷,加班
摆烂,躺平
撸猫,吸猫
追剧,刷剧
剧本杀,密室逃脱
二维码,条形码
直播,录播
网盘,U盘
表情包,颜文字
弹窗,广告
大数据,云计算
虚拟人,数字人
元宇宙,虚拟世界
共享单车,电单车
App,小程序
智能手表,手环
无线耳机,蓝牙耳机
浏览器,搜索引擎
操作系统,系统软件
电子书,电纸书
朋友圈,动态
热搜,话题榜
验证码,动态码
投屏,镜像
充电宝,移动电源
京剧,昆曲
书法,毛笔字
剪纸,窗花
年画,版画
评书,故事会
唐诗,宋词
武侠,仙侠
文言文,白话文
纪录片,专题片
相声,脱口秀
二十四节气,农历
本命年,犯太岁
风水,玄学
侠客,刺客
状元,榜眼
故宫,紫禁城
长城,烽火台
功夫,武术
寓言,神话
对联,春联
孤独,寂寞
暗恋,单相思
吃醋,嫉妒
尴尬,社死
焦虑,内耗
灵感,顿悟
默契,心有灵犀
宿命,缘分
安全感,归属感
佛系,躺平
