画蛇添足,节外生枝
守株待兔,刻舟求剑
亡羊补牢,防患未然
杯弓蛇影,草木皆兵
狐假虎威,仗势欺人
班门弄斧,关公面前耍大刀
塞翁失马,因祸得福
水滴石穿,铁杵磨针
一箭双雕,一石二鸟
画饼充饥,望梅止渴
掩耳盗铃,自欺欺人
竹篮打水,白费力气
雪中送炭,锦上添花
井底之蛙,夜郎自大
买椟还珠,舍本逐末
滥竽充数,鱼目混珠
叶公好龙,说一套做一套
东施效颦,邯郸学步
破釜沉舟,背水一战
卧薪尝胆,忍辱负重
白云,浮云
春笋,冬笋
河豚,海豚
萤火虫,蜘蛛
海棠,玫瑰
杨柳,垂柳
金桂,银桂
鸿雁,白鹅
紫薇,丁香
青蛙,蟾蜍
凤凰,孔雀
梅雨,细雨
红枫,黄杨
夜莺,黄鹂
茶花,月季
枇杷,石榴
蜜蜂,黄蜂
芭蕉,棕榈
白鹭,天鹅
桂花,栀子
蚂蚱,蝗虫
银杏,梧桐
蝙蝠,燕子
荔枝,龙眼
蟋蟀,知了
水仙,百合
鲤鱼,草鱼
海浪,波涛
彩虹,霞光
露珠,雨滴
雪花,冰晶
雷声,风声
山峰,丘陵
溪流,江河
森林,树林
草原,牧场
沙漠,戈壁
礁石,卵石
泉水,井水
晚霞,朝霞
火锅,麻辣烫
小笼包,汤包
煎饼,薄饼
豆腐脑,豆花
酸辣粉,螺蛳粉
肉夹馍,烧饼
糖葫芦,冰糖葫芦
元宵,汤圆
年糕,糯米糕
粽子,青团
月饼,桃酥
白酒,黄酒
绿茶,红茶
咖啡,奶茶
果汁,汽水
酸奶,牛奶
面条,米粉
大米,小米
花生,瓜子
核桃,杏仁
苹果,梨子
香蕉,芒果
草莓,蓝莓
西瓜,哈密瓜
橘子,柚子
葡萄,提子
菠萝,凤梨
桃子,李子
樱桃,杨梅
柿子,山楂
床单,被套
洗发水,护发素
牙膏,漱口水
肥皂,洗手液
洗衣液,柔顺剂
纸巾,湿巾
垃圾桶,收纳箱
花瓶,水杯
餐具,茶具
锅铲,漏勺
砧板,菜板
保鲜膜,铝箔纸
洗洁精,去污剂
清洁剂,消毒液
拖鞋,室内鞋
睡衣,家居服
毛毯,被子
靠垫,坐垫
台历,挂历
相框,画框
花盆,鱼缸
蜡烛,香薰
音响,耳机
遥控器,充电线
插座,开关
灯泡,节能灯
门锁,门把手
钥匙,门卡
钱包,零钱包
手机壳,钢化膜
抖音,快手
淘宝,京东
支付宝,微信支付
滴滴,打车
美团,饿了么
百度,搜狗
优酷,爱奇艺
网易云,QQ音乐
知乎,百度贴吧
微博,朋友圈
钉钉,企业微信
腾讯会议,飞书
小红书,ins
B站,优酷
拼多多,淘宝
高德地图,百度地图
携程,去哪儿
12306,飞猪
今日头条,腾讯新闻
喜马拉雅,荔枝FM
苹果,华为
小米,vivo
oppo,荣耀
电脑,笔记本
鼠标,触控板
键盘,手写板
显示器,投影仪
打印机,复印机
扫描仪,传真机
路由器,交换机
硬盘,U盘
内存卡,移动硬盘
摄像头,麦克风
音箱,蓝牙耳机
智能电视,网络盒子
游戏机,掌机
VR眼镜,AR设备
智能手环,计步器
无人机,航拍器
评书,相声
快板,数来宝
二胡,胡琴
笛子,箫
琵琶,古筝
唢呐,锣鼓
戏曲,话剧
曲艺,杂技
魔术,变戏法
舞蹈,芭蕾
民族舞,现代舞
广场舞,健身操
瑜伽,普拉提
太极拳,八段锦
武术,格斗
跆拳道,空手道
围棋,五子棋
麻将,扑克
象棋,跳棋
毛笔字,钢笔字
楷书,行书
篆刻,雕刻
素描,速写
水彩,油彩
国画,山水画
书画,字画
古董,文物
瓷器,陶器
玉器,翡翠
刺绣,织锦
剪纸,窗花
泥塑,木雕
风筝,灯笼
对联,横批
春联,福字
红包,压岁钱
鞭炮,烟花
庙宇,道观
佛珠,念珠
