平民,卧底
荷花,莲花
杜鹃,布谷鸟
熊猫,小熊猫
鲤鱼,锦鲤
喜鹊,乌鸦
蝴蝶,飞蛾
蜻蜓,豆娘
狼,哈士奇
海豚,海狮
蝎子,蜈蚣
玫瑰,月季
竹子,芦苇
牡丹,芍药
枫叶,梧桐叶
菊花,雏菊
冰雹,霜
雾,霾
瀑布,泉水
沙漠,戈壁
峡谷,盆地
狮子,老虎
燕子,麻雀
黄瓜,丝瓜
森林,雨林
冰川,冰山
珊瑚,水草
露水,晨霜
季风,台风
银杏,白桦
猎豹,羚羊
盆栽,插花
金鱼,热带鱼
鹦鹉,八哥
壁虎,蜥蜴
螃蟹,龙虾
鲸鱼,鲨鱼
水仙,百合
桃树,梨树
松树,柏树
日出,日落
彩虹,晚霞
河流,湖泊
平原,丘陵
火山,地震
海啸,龙卷风
钟乳石,石笋
化石,琥珀
梅花,腊梅
昙花,仙人掌
猫头鹰,老鹰
骆驼,羊驼
蚂蚁,白蚁
蜘蛛,蟑螂
海鸥,信天翁
水母,海葵
海星,海胆
苔藓,地衣
含羞草,捕蝇草
蒲公英,狗尾草
朝阳,夕阳
潮汐,浪花
岛屿,半岛
高原,山脉
洋流,暖流
雷电,闪电
酸雨,暴雪
极光,星轨
陨石坑,火山口
丹顶鹤,白鹭
孔雀,凤凰
金丝猴,长臂猿
穿山甲,犰狳
海马,海龙
章鱼,乌贼
珊瑚礁,红树林
睡莲,荷叶
茉莉,栀子花
石榴,无花果
龙眼,荔枝
甘蔗,玉米
日食,月食
流星雨,彗星
星云,星系
黑洞,白洞
赤道,两极
汤圆,元宵
粽子,饭团
馄饨,抄手
豆花,豆腐脑
烧饼,馕
烤串,串串香
拉面,泡面
月饼,老婆饼
烧麦,烧卖
火锅,麻辣烫
算盘,计算器
墨水,墨汁
暖宝宝,热水袋
围巾,围脖
汉服,和服
搓澡巾,浴花
扇子,团扇
针灸,拔罐
红包,利是
旗袍,马褂
春运,返乡
年夜饭,团圆饭
拜年,串门
赶集,逛街
团购,拼单
内卷,加班
摆烂,躺平
撸猫,吸猫
追剧,刷剧
剧本杀,密室逃脱
宵夜,早餐
地铁,公交
健身,减肥
房东,租客
公司,单位
食堂,餐厅
简历,履历
婚礼,婚宴
驾照,行驶证
社区,小区
拖鞋,棉鞋
枕头,抱枕
牙刷,牙线
肥皂,香皂
毛巾,浴巾
日记本,笔记本
钢笔,中性笔
外卖,快递
超市,便利店
银行,支付宝
工资,奖金
辞职,跳槽
面试,笔试
同学,同事
会议,讲座
报告,总结
旅游,旅行
度假,出差
电影院,KTV
博物馆,美术馆
图书馆,书店
公园,游乐园
运动会,演唱会
体检,看病
理发,染发
装修,搬家
房产证,户口本
身份证,社保卡
信用卡,储蓄卡
股票,基金
保险,理财
发票,收据
合同,协议
请假,调休
实习,兼职
创业,打工
老板,上司
朋友,闺蜜
亲戚,家人
邻居,室友
小学,中学
大学,研究生
毕业,结业
学位证,毕业证
奖学金,助学金
补习班,兴趣班
寒假,暑假
周末,节假日
闹钟,手表
台灯,顶灯
沙发,椅子
衣柜,书柜
冰箱,冰柜
洗衣机,烘干机
空调,暖气
微波炉,烤箱
电饭煲,高压锅
豆浆机,榨汁机
吸尘器,扫地机
婚礼,葬礼
伴郎,伴娘
钻戒,对戒
请柬,喜帖
蜜月,旅拍
学区房,海景房
房贷,车贷
物业,业委会
停车位,车库
高速公路,国道
红绿灯,斑马线
驾校,考场
罚单,扣分
年检,保养
加油站,充电桩
二维码,条形码
直播,录播
网盘,U盘
表情包,颜文字
弹窗,广告
大数据,云计算
虚拟人,数字人
元宇宙,虚拟世界
共享单车,电单车
App,小程序
智能手表,手环
无线耳机,蓝牙耳机
浏览器,搜索引擎
操作系统,系统软件
电子书,电纸书
朋友圈,动态
热搜,话题榜
验证码,动态码
投屏,镜像
充电宝,移动电源
直播带货,电视购物
人脸识别,指纹解锁
充电,续航
账号,密码
缓存,内存
杀毒软件,防火墙
路由器,调制解调器
截屏,截图
静音,勿扰
飞行模式,省电模式
高清,蓝光
像素,分辨率
键盘,触摸板
鼠标,触控笔
摄像头,麦克风
投影仪,显示器
服务器,客户端
域名,IP地址
代码,程序
算法,公式
数据库,数据表
前端,后端
黑客,白客
病毒,木马
防火墙,杀毒
加密,解密
压缩,解压
上传,下载
在线,离线
私信,群聊
点赞,收藏
关注,粉丝
评论,弹幕
转发,分享
网红,大V
主播,UP主
电商,微商
外挂,插件
补丁,更新
公测,内测
新手村,满级区
氪金,肝
皮肤,装备
教程,攻略
主机,PC
手游,页游
VR,AR
智能家居,物联网
无人驾驶,自动泊车
机器人,机械臂
3D打印,激光切割
基因编辑,克隆
区块链,比特币
数字货币,移动支付
短视频,Vlog
播客,有声书
知识付费,在线教育
在线办公,远程会议
健康码,行程码
网约车,顺风车
扫地机,洗碗机
智能音箱,语音助手
运动手环,心率带
无人机,航拍器
平板,笔记本
单反,微单
长焦,广角
美颜,滤镜
 P图,修图
云游戏,云电脑
京剧,昆曲
书法,毛笔字
剪纸,窗花
年画,版画
评书,故事会
唐诗,宋词
武侠,仙侠
文言文,白话文
纪录片,专题片
相声,脱口秀
二十四节气,农历
本命年,犯太岁
风水,玄学
侠客,刺客
状元,榜眼
故宫,紫禁城
长城,烽火台
功夫,武术
寓言,神话
对联,春联
围棋,象棋
书法,国画
旗袍,中山装
故宫,颐和园
编钟,古琴
皮影戏,木偶戏
相声,小品
散文,杂文
主角,配角
导演,编剧
小说,剧本
童话,寓言
史书,传记
油画,水彩画
素描,速写
雕塑,泥塑
建筑,园林
摇滚,民谣
古典乐,交响乐
歌剧,音乐剧
芭蕾舞,现代舞
街舞,拉丁舞
魔术,杂技
马戏,杂耍
话剧,舞台剧
电影,电视剧
动画,动漫
科幻,奇幻
悬疑,推理
喜剧,悲剧
爱情片,动作片
国粹,非遗
文物,古董
篆刻,印章
刺绣,织锦
陶瓷,紫砂壶
四大发明,四大名著
百家姓,三字经
孔子,孟子
老子,庄子
孙子兵法,三十六计
三国演义,水浒传
西游记,封神演义
红楼梦,金瓶梅
李白,杜甫
苏轼,辛弃疾
秦始皇,汉武帝
唐太宗,宋太祖
成吉思汗,忽必烈
康熙,乾隆
科举,高考
状元,冠军
翰林院,中科院
县官,市长
镖局,保安公司
客栈,酒店
江湖,社会
门派,社团
武林盟主,行业协会主席
神仙,妖怪
天堂,地狱
轮回,转世
命运,天意
孤独,寂寞
暗恋,单相思
吃醋,嫉妒
尴尬,社死
焦虑,内耗
灵感,顿悟
默契,心有灵犀
宿命,缘分
安全感,归属感
佛系,躺平
梦想,理想
自由,解放
怀旧,念旧
拖延症,选择困难症
自信,自负
乐观,悲观
现实,幻想
习惯,本能
冲动,果断
灵感,直觉
热情,冷漠
勇敢,鲁莽
谦虚,虚伪
坚持,固执
理智,冷血
感性,情绪化
幽默,油腻
成熟,世故
天真,幼稚
活泼,好动
安静,沉闷
靠谱,稳重
惊喜,惊吓
幸福,快乐
悲伤,绝望
愤怒,怨恨
喜欢,爱
友情,爱情
亲情,恩情
希望,奢望
压力,动力
自律,他律
公平,公正
正义,复仇
善良,伪善
耐心,忍耐
从容,淡定
纠结,矛盾
迷茫,困惑
